CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO
01,001,0239,General José María Morelos y Pavón (Cañada Honda)
31,076,0001,Tecoh
31,102,0174,Xocén
31,101,0001,Umán
31,050,0001,Mérida
31,063,0001,Samahil
31,099,0001,Uayma
31,041,0001,Kanasín
32,051,0008,González Ortega (Bañón)
32,017,0001,Guadalupe
32,056,0001,Zacatecas
02,005,0001,Playas de Rosarito
31,011,0001,Celestún
07,027,0622,Jardínes del Grijalva
08,019,0001,Chihuahua
08,045,0015,Lázaro Cárdenas
09,011,0026,Santa Catarina Yecahuitzotl
09,013,0001,Xochimilco
09,009,0011,San Antonio Tecómitl
09,009,0300,San Nicolás Tetelco
09,012,0001,Tlalpan
05,035,0001,Torreón
12,001,0001,Acapulco de Juárez
12,075,0001,Zumpango del Río
13,009,0005,El Jiadi
13,051,0151,Hacienda Margarita
13,051,0152,Praderas de Virreyes
13,055,0017,Yolotepec
13,051,0092,Bosques del Mineral
13,051,0101,Guadalupe Minerva
13,003,0012,El Daxtha
13,074,0003,Teltipán de Juárez
13,070,0002,Munitepec de Madero
14,120,0001,Zapopan
15,024,0112,Barrio Tlatenco
13,013,0029,Paseos de la Pradera
15,013,0001,Ciudad López Mateos
16,020,0001,Cuitzeo del Porvenir
16,084,0004,La Cantera
16,075,0001,Los Reyes de Salgado
21,188,0002,San Antonio Alpanocan
18,017,0001,Tepic
18,017,0151,San Cayetano
18,011,0001,Ruiz
18,010,0035,San Vicente
20,073,0001,Putla Villa de Guerrero
20,337,0001,San Pedro y San Pablo Ayutla
20,193,0001,San Juan del Estado
20,427,0010,Rincón Viejo
20,167,0001,San José del Peñasco
20,390,0001,Santa Lucía del Camino
20,399,0001,Santa María Atzompa
20,091,0001,San Andrés Huayápam
20,107,0001,San Antonio de la Cal
20,157,0001,San Jacinto Amilpas
20,227,0001,San Lorenzo Cacaotepec
20,385,0001,Santa Cruz Xoxocotlán
20,103,0001,San Antonino Castillo Velasco
20,132,0001,San Dionisio Ocotlán
20,515,0001,Santo Domingo Tehuantepec
20,303,0001,San Pedro Cajonos
20,128,0001,San Cristóbal Lachirioag
20,294,0001,San Pablo Huitzo
20,067,0001,Oaxaca de Juárez
20,385,0009,San Juan Bautista la Raya
20,338,0001,Villa de Etla
20,190,0013,María Lombardo de Caso
20,365,0001,Santa Catarina Lachatao
20,150,0001,San Francisco Telixtlahuaca
20,092,0001,San Andrés Ixtlahuaca
20,392,0001,Santa Lucía Monteverde
20,553,0001,Tlalixtac de Cabrera
20,043,0001,Juchitán de Zaragoza
20,124,0001,San Blas Atempa
20,390,0003,San Francisco Tutla
21,041,0008,Sanctorum
30,128,0007,La Gloria
21,071,0038,Xaltepec
22,014,0001,Santiago de Querétaro
22,011,0047,Palo Alto
22,016,0039,El Organal
22,008,0116,Cumbres del Cimatario
25,012,0348,Villa Unión
25,001,0156,Gustavo Díaz Ordaz (El Carrizo)
25,002,0031,Colonia Independencia (Chinitos)
25,002,0032,Colonia Agrícola México (Palmitas)
26,017,0001,Heroica Caborca
29,002,0003,San Matías Tepetomatitlán
29,010,0001,Santa Ana Chiautempan
30,087,0001,Xalapa-Enríquez
20,021,0001,Cosolapa
30,048,0286,Fraccionamiento los Mangos
11,031,0061,San Cristóbal (El Cerrito)
11,011,0054,Tierra Fría
19,045,0551,Valle del Norte
19,031,0357,Anzures
19,041,0456,Valle de Santa María
19,026,0001,Guadalupe
